127.0.0.1 - - [13/Jun/2024:12:13:51 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:13:52 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:13:52 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:17:06 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 304
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:19:40 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:21:01 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 442
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:21:01 +0900] "GET /webStandard01/01/image/watch.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:21:02 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:21:02 +0900] "GET /webStandard01/01/image/watch.jpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:21:24 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:21:24 +0900] "GET /webStandard01/01/images/watch.jpg HTTP/1.1" 200 48046
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:40 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:40 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:40 +0900] "GET /webStandard01/01/images/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:41 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:26:41 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:33:37 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:33:37 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:33:37 +0900] "GET /webStandard01/01/images/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:46:46 +0900] "GET /webStandard01/01/basic03.html HTTP/1.1" 200 496
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:46:46 +0900] "GET /webStandard01/01/images/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:12:46:46 +0900] "GET /webStandard01/01/images/watch2.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:15:28 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:15:59 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:16:00 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:16:01 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:16:03 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:16:11 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:16:13 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:16:13 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:16:21 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:16:21 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:16:30 +0900] "GET /webStandard01/02/ul.html HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:22:25 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:25:09 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:25:11 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:25:12 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:26:33 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:26:41 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:27:33 +0900] "GET /webStandard01/02/ol.html HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:31:17 +0900] "GET /webStandard01/02/textShow.html HTTP/1.1" 200 627
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:34:51 +0900] "GET /webStandard01/02/table01.html HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:36:37 +0900] "GET /webStandard01/02/table01.html HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:39:12 +0900] "GET /webStandard01/02/table01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:39:19 +0900] "GET /webStandard01/02/table01.html HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:40:59 +0900] "GET /webStandard01/02/table01.html HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:41:39 +0900] "GET /webStandard01/02/table01.html HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:42:27 +0900] "GET /webStandard01/02/table01.html HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [13/Jun/2024:14:42:40 +0900] "GET /webStandard01/02/table01.html HTTP/1.1" 200 332
